小池陸斗,090-6823-0709,1660000000,0,1,あんぱんx1nnメロンパンx10nnアンフランスx2nnクロックムッシュx１,代済み
小池純子,090-8935-8858,1665000000,1,1,,冷めたやつ
小池歌音,090-6823-0711,1667000000,0,1,ロングウインナーx2,
前田愛,090-6823-0712,1662000000,0,1,,代済み
前田きはる,090-6823-0713,1660000000,0,1,,
与田祐希,090-6823-0713,1660000000,0,1,,
本田翼,090-6823-0714,1660000000,0,0,あんぱんx1,
齋藤飛鳥,090-6823-0715,1660000000,0,0,あんぱんx2,
貴島明日香,090-6823-0716,1660000000,0,0,あんぱんx3,
上戸彩,090-6823-0717,1660000000,0,0,あんぱんx4,
山田孝之,090-6823-0718,1660000000,0,0,あんぱんx5,
小栗旬,090-6823-0719,1660000000,0,0,あんぱんx6,
中島みゆき,090-6823-0720,1660000000,0,0,あんぱんx7,
中島みゆき,090-6823-0721,1660000000,0,0,あんぱんx8,
